t,x0,x1
0.01,0,0.00333333
0.02,0,0.00333333
0.03,3.33333e-05,0.00673333
0.04,3.33333e-05,0.00673333
0.05,0.000100667,0.0101888
0.06,0.000100667,0.0101888
0.07,0.000202555,0.0136885
0.08,0.000202555,0.0136885
0.09,0.00033944,0.0172207
0.1,0.00033944,0.0172207
0.11,0.000511647,0.0207737
0.12,0.000511647,0.0207737
0.13,0.000719384,0.0243355
0.14,0.000719384,0.0243355
0.15,0.000962739,0.0278942
0.16,0.000962739,0.0278942
0.17,0.00124168,0.0314377
0.18,0.00124168,0.0314377
0.19,0.00155606,0.0349539
0.2,0.00155606,0.0349539
0.21,0.0019056,0.0384307
0.22,0.0019056,0.0384307
0.23,0.0022899,0.0418563
0.24,0.0022899,0.0418563
0.25,0.00270847,0.0452187
0.26,0.00270847,0.0452187
0.27,0.00316065,0.0485061
0.28,0.00316065,0.0485061
0.29,0.00364571,0.0517071
0.3,0.00364571,0.0517071
0.31,0.00416279,0.0548103
0.32,0.00416279,0.0548103
0.33,0.00471089,0.0578046
0.34,0.00471089,0.0578046
0.35,0.00528893,0.0606792
0.36,0.00528893,0.0606792
0.37,0.00589573,0.0634238
0.38,0.00589573,0.0634238
0.39,0.00652996,0.0660283
0.4,0.00652996,0.0660283
0.41,0.00719025,0.068483
0.42,0.00719025,0.068483
0.43,0.00787508,0.0707788
0.44,0.00787508,0.0707788
0.45,0.00858287,0.0729069
0.46,0.00858287,0.0729069
0.47,0.00931194,0.0748591
0.48,0.00931194,0.0748591
0.49,0.0100605,0.0766278
0.5,0.0100605,0.0766278
0.51,0.0108268,0.0782057
0.52,0.0108268,0.0782057
0.53,0.0116089,0.0795863
0.54,0.0116089,0.0795863
0.55,0.0124047,0.0807638
0.56,0.0124047,0.0807638
0.57,0.0132124,0.0817329
0.58,0.0132124,0.0817329
0.59,0.0140297,0.0824888
0.6,0.0140297,0.0824888
0.61,0.0148546,0.0830278
0.62,0.0148546,0.0830278
0.63,0.0156849,0.0833463
0.64,0.0156849,0.0833463
0.65,0.0165183,0.083442
0.66,0.0165183,0.083442
0.67,0.0173527,0.083313
0.68,0.0173527,0.083313
0.69,0.0181859,0.0829581
0.7,0.0181859,0.0829581
0.71,0.0190155,0.0823768
0.72,0.0190155,0.0823768
0.73,0.0198392,0.0815696
0.74,0.0198392,0.0815696
0.75,0.0206549,0.0805375
0.76,0.0206549,0.0805375
0.77,0.0214603,0.0792823
0.78,0.0214603,0.0792823
0.79,0.0222531,0.0778064
